"labelString","fact","startDate","endDate","elementId","contextId","roleId"
"短期借入金の純増減額（△は減少）","-500000000","2018-04-01","2019-03-31","NetIncreaseDecreaseInShortTermLoansPayableFinCF","CurrentYearDuration","ConsolidatedStatementOfCashFlows-indirect"
"長期借入れによる収入",NA,"2017-04-01","2018-03-31","ProceedsFromLongTermLoansPayableFinCF","Prior1YearDuration","ConsolidatedStatementOfCashFlows-indirect"
"長期借入れによる収入","500000000","2018-04-01","2019-03-31","ProceedsFromLongTermLoansPayableFinCF","CurrentYearDuration","ConsolidatedStatementOfCashFlows-indirect"
"長期借入金の返済による支出","-525000000","2017-04-01","2018-03-31","RepaymentOfLongTermLoansPayableFinCF","Prior1YearDuration","ConsolidatedStatementOfCashFlows-indirect"
"長期借入金の返済による支出","-10000000","2018-04-01","2019-03-31","RepaymentOfLongTermLoansPayableFinCF","CurrentYearDuration","ConsolidatedStatementOfCashFlows-indirect"
"自己株式の取得による支出","-0","2017-04-01","2018-03-31","PurchaseOfTreasuryStockFinCF","Prior1YearDuration","ConsolidatedStatementOfCashFlows-indirect"
"自己株式の取得による支出",NA,"2018-04-01","2019-03-31","PurchaseOfTreasuryStockFinCF","CurrentYearDuration","ConsolidatedStatementOfCashFlows-indirect"
"配当金の支払額","-2236000000","2017-04-01","2018-03-31","CashDividendsPaidFinCF","Prior1YearDuration","ConsolidatedStatementOfCashFlows-indirect"
"配当金の支払額","-2233000000","2018-04-01","2019-03-31","CashDividendsPaidFinCF","CurrentYearDuration","ConsolidatedStatementOfCashFlows-indirect"
"非支配株主への払戻による支出","-7000000","2017-04-01","2018-03-31","RepaymentsToNonControllingShareholdersFinCF","Prior1YearDuration","ConsolidatedStatementOfCashFlows-indirect"
"非支配株主への払戻による支出",NA,"2018-04-01","2019-03-31","RepaymentsToNonControllingShareholdersFinCF","CurrentYearDuration","ConsolidatedStatementOfCashFlows-indirect"
"財務活動によるキャッシュ・フロー","-3268000000","2017-04-01","2018-03-31","NetCashProvidedByUsedInFinancingActivities","Prior1YearDuration","ConsolidatedStatementOfCashFlows-indirect"
"財務活動によるキャッシュ・フロー","-2243000000","2018-04-01","2019-03-31","NetCashProvidedByUsedInFinancingActivities","CurrentYearDuration","ConsolidatedStatementOfCashFlows-indirect"
"現金及び現金同等物に係る換算差額","-99000000","2017-04-01","2018-03-31","EffectOfExchangeRateChangeOnCashAndCashEquivalents","Prior1YearDuration","ConsolidatedStatementOfCashFlows-indirect"
"現金及び現金同等物に係る換算差額","-80000000","2018-04-01","2019-03-31","EffectOfExchangeRateChangeOnCashAndCashEquivalents","CurrentYearDuration","ConsolidatedStatementOfCashFlows-indirect"
"現金及び現金同等物の増減額（△は減少）","-3127000000","2017-04-01","2018-03-31","NetIncreaseDecreaseInCashAndCashEquivalents","Prior1YearDuration","ConsolidatedStatementOfCashFlows-indirect"
"現金及び現金同等物の増減額（△は減少）","5162000000","2018-04-01","2019-03-31","NetIncreaseDecreaseInCashAndCashEquivalents","CurrentYearDuration","ConsolidatedStatementOfCashFlows-indirect"
"現金及び現金同等物の残高","12406000000",NA,"2017-03-31","CashAndCashEquivalents","Prior2YearInstant","ConsolidatedStatementOfCashFlows-indirect"
"現金及び現金同等物の残高","9278000000",NA,"2018-03-31","CashAndCashEquivalents","Prior1YearInstant","ConsolidatedStatementOfCashFlows-indirect"
"現金及び現金同等物の残高","9278000000",NA,"2018-03-31","CashAndCashEquivalents","Prior1YearInstant","ConsolidatedStatementOfCashFlows-indirect"
"現金及び現金同等物の残高","14440000000",NA,"2019-03-31","CashAndCashEquivalents","CurrentYearInstant","ConsolidatedStatementOfCashFlows-indirect"
"減価償却累計額","-724000000",NA,"2018-03-31","AccumulatedDepreciationBuildings","Prior1YearInstant",NA
"減価償却累計額","-656000000",NA,"2019-03-31","AccumulatedDepreciationBuildings","CurrentYearInstant",NA
"減価償却累計額","-2000000",NA,"2018-03-31","AccumulatedDepreciationVehicles","Prior1YearInstant",NA
"減価償却累計額","-6000000",NA,"2019-03-31","AccumulatedDepreciationVehicles","CurrentYearInstant",NA
"減価償却累計額","-181000000",NA,"2018-03-31","AccumulatedDepreciationToolsFurnitureAndFixtures","Prior1YearInstant",NA
"減価償却累計額","-207000000",NA,"2019-03-31","AccumulatedDepreciationToolsFurnitureAndFixtures","CurrentYearInstant",NA
"減価償却累計額","-908000000",NA,"2018-03-31","AccumulatedDepreciationPPEByGroup","Prior1YearInstant",NA
"減価償却累計額","-870000000",NA,"2019-03-31","AccumulatedDepreciationPPEByGroup","CurrentYearInstant",NA
