"labelString","fact","startDate","endDate","elementId","contextId","roleId"
"預り金","12342000",NA,"2019-03-31","DepositsReceived","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"賞与引当金","35935000",NA,"2018-03-31","ProvisionForBonuses","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"賞与引当金","35192000",NA,"2019-03-31","ProvisionForBonuses","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"訴訟損失引当金","3000000",NA,"2018-03-31","ProvisionForLossOnLitigationCL","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"訴訟損失引当金",NA,NA,"2019-03-31","ProvisionForLossOnLitigationCL","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"預り証拠金","13108459000",NA,"2018-03-31","CustomersDepositsReceivedForCommodityFuturesTransactionCLCMD","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"預り証拠金","9956300000",NA,"2019-03-31","CustomersDepositsReceivedForCommodityFuturesTransactionCLCMD","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"預り証拠金代用有価証券","3618815000",NA,"2018-03-31","SecuritiesReceivedAsCustomersDepositsForCommodityFuturesTransactionCLCMD","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"預り証拠金代用有価証券","2425373000",NA,"2019-03-31","SecuritiesReceivedAsCustomersDepositsForCommodityFuturesTransactionCLCMD","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"その他","101241000",NA,"2018-03-31","OtherCL","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"その他","92972000",NA,"2019-03-31","OtherCL","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"流動負債","17416717000",NA,"2018-03-31","CurrentLiabilities","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"流動負債","12694427000",NA,"2019-03-31","CurrentLiabilities","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"リース債務","6982000",NA,"2018-03-31","LeaseObligationsNCL","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"リース債務","2939000",NA,"2019-03-31","LeaseObligationsNCL","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"繰延税金負債","4668000",NA,"2018-03-31","DeferredTaxLiabilitiesNCL","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"繰延税金負債","3003000",NA,"2019-03-31","DeferredTaxLiabilitiesNCL","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"退職給付引当金","255126000",NA,"2018-03-31","ProvisionForRetirementBenefits","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"退職給付引当金","247637000",NA,"2019-03-31","ProvisionForRetirementBenefits","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"その他","625000",NA,"2018-03-31","OtherNCL","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"その他","290000",NA,"2019-03-31","OtherNCL","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"固定負債","267402000",NA,"2018-03-31","NoncurrentLiabilities","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"固定負債","253871000",NA,"2019-03-31","NoncurrentLiabilities","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"商品取引責任準備金","22444000",NA,"2018-03-31","ReserveForCommoditiesTransactionLiabilitiesReservesUnderTheSpecialLawsCMD","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"商品取引責任準備金","26791000",NA,"2019-03-31","ReserveForCommoditiesTransactionLiabilitiesReservesUnderTheSpecialLawsCMD","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"特別法上の準備金","22444000",NA,"2018-03-31","ReservesUnderTheSpecialLaws1","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"特別法上の準備金","26791000",NA,"2019-03-31","ReservesUnderTheSpecialLaws1","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"負債","17706563000",NA,"2018-03-31","Liabilities","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"負債","12975090000",NA,"2019-03-31","Liabilities","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
