"elementId","labelString"
"jppfs_cor_DeferredAssets","繰延資産"
"jppfs_cor_Assets","資産"
"jppfs_cor_LiabilitiesAbstract","負債の部"
"jppfs_cor_CurrentLiabilitiesAbstract","流動負債"
"jppfs_cor_NotesAndAccountsPayableTrade","支払手形及び買掛金"
"jppfs_cor_NotesPayableTrade","支払手形"
"jppfs_cor_AccountsPayableTrade","買掛金"
"jppfs_cor_ShortTermBondsPayable","短期社債"
"jppfs_cor_CommercialPapersLiabilities","コマーシャル・ペーパー"
"jppfs_cor_ShortTermLoansPayable","短期借入金"
"jppfs_cor_ShortTermLoansPayableToSubsidiariesAndAffiliates","関係会社短期借入金"
"jppfs_cor_AccountsPayableOther","未払金"
"jppfs_cor_DividendsPayable","未払配当金"
"jppfs_cor_DirectorsCompensationPayable","未払役員報酬"
"jppfs_cor_AccruedExpenses","未払費用"
"jppfs_cor_IncomeTaxesPayable","未払法人税等"
"jppfs_cor_AccruedBusinessOfficeTaxes","未払事業所税"
"jppfs_cor_AccruedConsumptionTaxes","未払消費税等"
"jppfs_cor_DeferredTaxLiabilitiesCL","繰延税金負債"
"jppfs_cor_AdvancesReceived","前受金"
"jppfs_cor_DepositsReceived","預り金"
"jppfs_cor_DepositsReceivedFromShareholdersDirectorsOrEmployees","株主、役員又は従業員からの預り金"
"jppfs_cor_UnearnedRevenue","前受収益"
"jppfs_cor_ProvisionCLAbstract","引当金"
"jppfs_cor_ProvisionForProductWarranties","製品保証引当金"
"jppfs_cor_ProvisionForBonuses","賞与引当金"
"jppfs_cor_ProvisionForRepairs","修繕引当金"
"jppfs_cor_ProvisionForDirectorsBonuses","役員賞与引当金"
"jppfs_cor_ProvisionCL","引当金"
"jppfs_cor_ShortTermLoansPayableToShareholdersDirectorsOrEmployees","株主、役員又は従業員からの短期借入金"
"jppfs_cor_DepositsReceivedFromEmployees","従業員預り金"
"jppfs_cor_SpecialSuspenseAccountForReductionEntry","圧縮未決算特別勘定"
"jppfs_cor_NotesPayableNonOperating","営業外支払手形"
"jppfs_cor_OtherCL","その他"
"jppfs_cor_CurrentLiabilities","流動負債"
"jppfs_cor_NoncurrentLiabilitiesAbstract","固定負債"
"jppfs_cor_BondsPayable","社債"
"jppfs_cor_LongTermLoansPayable","長期借入金"
"jppfs_cor_LongTermLoansPayableToSubsidiariesAndAffiliates","関係会社長期借入金"
"jppfs_cor_LongTermLoansPayableToShareholdersDirectorsOrEmployees","株主、役員又は従業員からの長期借入金"
"jppfs_cor_LongTermAccountsPayableOther","長期未払金"
"jppfs_cor_LongTermUnearnedRevenue","長期前受収益"
