"docID","edinetCode","filerName","secCode","periodEnd"
"S100G3NX","E03332","白銅","76370","2019-03-31"
"S100GCB4","E02005","リーダー電子","68670","2019-03-31"
"S100G4IV","E01578","椿本チエイン","63710","2019-03-31"
"S100GCBS","E00712","三光産業","79220","2019-03-31"
"S100FZ8X","E03398","あみやき亭","27530","2019-03-31"
"S100GCPR","E01795","ＴＢグループ","67750","2019-03-31"
"S100GD1A","E00026","日本精鉱","57290","2019-03-31"
"S100GD5H","E04123","広島電鉄","90330","2019-03-31"
"S100GD61","E05114","ガーラ","47770","2019-03-31"
"S100GCOB","E27032","ジーンテクノサイエンス","45840","2019-03-31"
"S100GCS7","E33615","ジーニー","65620","2019-03-31"
"S100GC5S","E03124","青山商事","82190","2019-03-31"
"S100GA86","E02354","メディキット","77490","2019-03-31"
"S100GCQV","E31103","インターワークス","60320","2019-03-31"
"S100GCID","E32447","西日本フィナンシャルホールディングス","71890","2019-03-31"
"S100GC88","E05211","Ｊストリーム","43080","2019-03-31"
"S100GCOY","E33110","旅工房","65480","2019-03-31"
"S100GCI1","E01180","美濃窯業","53560","2019-03-31"
"S100G2PA","E05325","ビジネス・ワンホールディングス","48270","2019-03-31"
"S100GD6F","E01647","小倉クラッチ","64080","2019-03-31"
"S100GD8G","E00390","２１ＬＡＤＹ","33460","2019-03-31"
"S100GD4U","E05302","ｆｏｎｆｕｎ","23230","2019-03-31"
"S100GCV9","E01292","東京鐵鋼","54450","2019-03-31"
"S100G6TK","E00566","北日本紡績","34090","2019-03-31"
"S100G81G","E01077","ニチレキ","50110","2019-03-31"
"S100GCCP","E00907","ロックペイント","46210","2019-03-31"
"S100GCGW","E01583","加藤製作所","63900","2019-03-31"
"S100GA94","E03233","はるやまホールディングス","74160","2019-03-31"
"S100GC6P","E00268","ヤマウラ","17800","2019-03-31"
"S100G1LK","E00147","戸田建設","18600","2019-03-31"
"S100GCNC","E01156","リソルホールディングス","52610","2019-03-31"
"S100GCMY","E00543","富士紡ホールディングス","31040","2019-03-31"
"S100GC8S","E01457","ミヤコ","34240","2019-03-31"
"S100GB0Y","E01946","ファナック","69540","2019-03-31"
"S100GD91","E00893","関西ペイント","46130","2019-03-31"
"S100G5S7","E02105","レシップホールディングス","72130","2019-03-31"
"S100GD9B","E00473","シノブフーズ","29030","2019-03-31"
"S100GDA0","E34487","テクノスデータサイエンス・エンジニアリング","70460","2019-03-31"
"S100G9CH","E04185","トナミホールディングス","90700","2019-03-31"
"S100GB42","E01764","寺崎電気産業","66370","2019-03-31"
"S100GCNK","E04232","ロジネットジャパン","90270","2019-03-31"
"S100GBXD","E01163","エーアンドエーマテリアル","53910","2019-03-31"
"S100GCDP","E01977","ミナトホールディングス","68620","2019-03-31"
"S100G9F8","E02445","フジマック","59650","2019-03-31"
"S100GD5K","E30865","リボミック","45910","2019-03-31"
"S100GDB0","E02747","藤井産業","99060","2019-03-31"
"S100GDBH","E01172","昭和化学工業","49900","2019-03-31"
"S100GDBT","E02682","カメイ","80370","2019-03-31"
"S100G7NG","E34499","ヤシマキザイ","76770","2019-03-31"
"S100GB5Q","E27585","リプロセル","49780","2019-03-31"
